"SWSN_ID","SWSN_Site","Macro","Micro","GKPM","GKPMPZ","Periods","EASTING","NORTHING","P1room","P2room","P3room","P4room","P5room","P6room","N0S1","P2CT","P2P1200","P2P1250","P2P1300","P2P1350","P2P1400","P7CT","P7P1200","P7P1250","P7P1300","P7P1350","P7P1400","P18CT","P18P1200","P18P1250","P18P1300","P18P1350","P18P1400"
737.00,"Red Willow II","Puerco West","Coyote Wash",0.00,0.00,2.00,703560,3968960,25.93,24.98,0.00,0.00,0.00,0.00,0,1.00,24.00,17.00,0.00,0.00,0.00,1.00,24.00,17.00,0.00,0.00,0.00,11.00,216.00,289.00,0.00,0.00,0.00
738.00,"Clanton Draw","Chihuahuan Lowlands","Boot Heel",0.00,1.00,3.00,701080,3490280,0.00,27.64,37.38,16.40,0.00,0.00,1,1.00,0.00,50.00,72.00,50.00,0.00,3.00,0.00,72.00,302.00,379.00,0.00,9.00,0.00,358.00,875.00,379.00,0.00
739.00,"Box Canyon","Chihuahuan Lowlands","Boot Heel",0.00,1.00,2.00,701560,3495100,0.00,0.00,125.11,69.34,0.00,0.00,1,1.00,0.00,0.00,230.00,329.00,0.00,4.00,0.00,109.00,355.00,379.00,0.00,9.00,166.00,734.00,1250.00,589.00,0.00
745.00,"Lizard House","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,726903,4004691,45.80,0.00,0.00,0.00,0.00,0.00,0,1.00,53.00,0.00,0.00,0.00,0.00,1.00,53.00,0.00,0.00,0.00,0.00,2.00,67.00,0.00,0.00,0.00,0.00
746.00,"LA 6679","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,702987,4005835,10.74,13.61,0.00,0.00,0.00,0.00,0,4.00,42.00,71.00,0.00,0.00,0.00,23.00,256.00,465.00,51.00,0.00,0.00,55.00,618.00,769.00,147.00,0.00,0.00
747.00,"LA 6705","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,702856,4007453,24.33,30.83,0.00,0.00,0.00,0.00,0,4.00,42.00,71.00,0.00,0.00,0.00,23.00,256.00,465.00,51.00,0.00,0.00,53.00,608.00,689.00,147.00,0.00,0.00
748.00,"LA 6725","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,702003,4007262,12.02,15.23,0.00,0.00,0.00,0.00,0,4.00,42.00,71.00,0.00,0.00,0.00,23.00,256.00,465.00,51.00,0.00,0.00,52.00,594.00,689.00,147.00,0.00,0.00
749.00,"LA 6729","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,701968,4007249,15.11,19.15,0.00,0.00,0.00,0.00,0,4.00,42.00,71.00,0.00,0.00,0.00,23.00,256.00,465.00,51.00,0.00,0.00,52.00,594.00,689.00,147.00,0.00,0.00
750.00,"Skunk Springs","Chuska/Chaco","Chuska Mountains",1.00,1.00,2.00,701702,4012490,128.86,114.06,0.00,0.00,0.00,0.00,0,5.00,133.00,75.00,20.00,0.00,0.00,40.00,427.00,624.00,136.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
751.00,"LA 7059","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,699056,4010966,0.00,15.32,0.00,0.00,0.00,0.00,0,13.00,72.00,307.00,31.00,0.00,0.00,29.00,301.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
752.00,"LA 7067","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,698326,4010352,15.36,0.00,0.00,0.00,0.00,0.00,0,11.00,45.00,307.00,31.00,0.00,0.00,27.00,265.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
753.00,"LA 7068","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,698374,4009999,11.39,14.43,0.00,0.00,0.00,0.00,0,12.00,61.00,307.00,31.00,0.00,0.00,26.00,265.00,503.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
755.00,"LA 7072","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,698888,4009926,10.09,12.79,0.00,0.00,0.00,0.00,0,12.00,61.00,307.00,31.00,0.00,0.00,27.00,265.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
756.00,"LA 7075","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,699111,4010132,10.09,12.79,0.00,0.00,0.00,0.00,0,13.00,72.00,307.00,31.00,0.00,0.00,27.00,265.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
757.00,"LA 7077","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,699270,4010266,0.00,22.61,0.00,0.00,0.00,0.00,0,15.00,100.00,307.00,31.00,0.00,0.00,28.00,289.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
758.00,"LA 7081","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,699078,4010018,0.00,14.56,0.00,0.00,0.00,0.00,0,13.00,72.00,307.00,31.00,0.00,0.00,27.00,265.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
759.00,"LA 7095","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,699102,4010818,12.02,15.23,0.00,0.00,0.00,0.00,0,13.00,72.00,307.00,31.00,0.00,0.00,29.00,301.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
760.00,"LA 7098","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,699552,4010278,0.00,13.01,0.00,0.00,0.00,0.00,0,15.00,100.00,307.00,31.00,0.00,0.00,28.00,289.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
762.00,"LA 7138","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,700230,4011511,12.43,0.00,0.00,0.00,0.00,0.00,0,14.00,177.00,346.00,51.00,0.00,0.00,34.00,323.00,590.00,136.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
763.00,"LA 7183","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,699333,4009037,0.00,15.32,0.00,0.00,0.00,0.00,0,12.00,61.00,307.00,31.00,0.00,0.00,24.00,256.00,479.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
764.00,"LA 7189","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,701221,4010562,16.78,0.00,0.00,0.00,0.00,0.00,0,10.00,161.00,296.00,42.00,0.00,0.00,33.00,323.00,541.00,66.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
765.00,"LA 7192","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,700313,4010021,16.78,0.00,0.00,0.00,0.00,0.00,0,14.00,86.00,307.00,31.00,0.00,0.00,29.00,301.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
766.00,"LA 7200","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,701167,4009895,13.17,0.00,0.00,0.00,0.00,0.00,0,7.00,55.00,221.00,22.00,0.00,0.00,29.00,301.00,515.00,51.00,0.00,0.00,54.00,629.00,689.00,147.00,0.00,0.00
767.00,"LA 7290","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,717729,4038080,20.25,0.00,0.00,0.00,0.00,0.00,0,2.00,34.00,0.00,0.00,0.00,0.00,4.00,76.00,22.00,0.00,0.00,0.00,12.00,202.00,55.00,0.00,0.00,0.00
768.00,"LA 7318","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,704382,4019680,28.79,0.00,0.00,0.00,0.00,0.00,0,1.00,30.00,0.00,0.00,0.00,0.00,25.00,289.00,198.00,96.00,0.00,0.00,61.00,770.00,745.00,147.00,0.00,0.00
770.00,"LA 7329","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,703560,4017019,0.00,17.57,0.00,0.00,0.00,0.00,0,11.00,98.00,72.00,15.00,0.00,0.00,31.00,426.00,298.00,116.00,0.00,0.00,57.00,698.00,729.00,147.00,0.00,0.00
771.00,"LA 7343","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,701806,4026519,23.60,0.00,0.00,0.00,0.00,0.00,0,2.00,35.00,0.00,0.00,0.00,0.00,6.00,124.00,40.00,0.00,0.00,0.00,65.00,873.00,973.00,147.00,0.00,0.00
772.00,"LA 7417","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,711032,4021552,13.91,0.00,0.00,0.00,0.00,0.00,0,2.00,26.00,0.00,0.00,0.00,0.00,10.00,131.00,62.00,11.00,0.00,0.00,64.00,837.00,767.00,147.00,0.00,0.00
774.00,"LA 7433","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,708270,4018340,23.60,0.00,0.00,0.00,0.00,0.00,0,6.00,68.00,52.00,11.00,0.00,0.00,21.00,231.00,137.00,26.00,0.00,0.00,60.00,745.00,745.00,147.00,0.00,0.00
775.00,"LA 7434","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,708290,4018628,14.50,18.38,0.00,0.00,0.00,0.00,0,6.00,68.00,52.00,11.00,0.00,0.00,21.00,231.00,137.00,26.00,0.00,0.00,60.00,745.00,745.00,147.00,0.00,0.00
776.00,"LA 7437","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,708064,4018392,0.00,21.19,0.00,0.00,0.00,0.00,0,6.00,68.00,52.00,11.00,0.00,0.00,23.00,247.00,148.00,26.00,0.00,0.00,60.00,745.00,745.00,147.00,0.00,0.00
777.00,"LA 7438","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,708268,4018352,0.00,17.57,0.00,0.00,0.00,0.00,0,6.00,68.00,52.00,11.00,0.00,0.00,21.00,231.00,137.00,26.00,0.00,0.00,60.00,745.00,745.00,147.00,0.00,0.00
778.00,"LA 7465","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,711934,4021714,13.91,0.00,0.00,0.00,0.00,0.00,0,2.00,26.00,0.00,0.00,0.00,0.00,8.00,94.00,52.00,11.00,0.00,0.00,63.00,837.00,756.00,147.00,0.00,0.00
779.00,"LA 7470","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,703104,4017096,0.00,16.83,0.00,0.00,0.00,0.00,0,8.00,74.00,38.00,15.00,0.00,0.00,31.00,426.00,298.00,116.00,0.00,0.00,57.00,698.00,729.00,147.00,0.00,0.00
780.00,"LA 7475","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,709154,4018737,13.91,0.00,0.00,0.00,0.00,0.00,0,6.00,68.00,52.00,11.00,0.00,0.00,20.00,231.00,125.00,26.00,0.00,0.00,61.00,775.00,767.00,147.00,0.00,0.00
782.00,"LA 7501","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,703215,4016272,13.17,0.00,0.00,0.00,0.00,0.00,0,10.00,74.00,63.00,15.00,0.00,0.00,36.00,463.00,520.00,125.00,0.00,0.00,57.00,698.00,729.00,147.00,0.00,0.00
783.00,"LA 7502","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,703071,4016089,23.60,0.00,0.00,0.00,0.00,0.00,0,10.00,74.00,63.00,15.00,0.00,0.00,38.00,463.00,546.00,147.00,0.00,0.00,57.00,698.00,729.00,147.00,0.00,0.00
785.00,"LA 7526","Chuska/Chaco","Chuska Mountains",0.00,0.00,2.00,705360,4017295,10.09,12.79,0.00,0.00,0.00,0.00,0,6.00,52.00,50.00,0.00,0.00,0.00,29.00,399.00,298.00,116.00,0.00,0.00,57.00,698.00,729.00,147.00,0.00,0.00
786.00,"LA 7538","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,704606,4016325,13.17,0.00,0.00,0.00,0.00,0.00,0,11.00,98.00,72.00,15.00,0.00,0.00,31.00,426.00,298.00,116.00,0.00,0.00,57.00,698.00,729.00,147.00,0.00,0.00
787.00,"LA 7547","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,702802,4015710,0.00,21.19,0.00,0.00,0.00,0.00,0,9.00,58.00,63.00,15.00,0.00,0.00,41.00,478.00,579.00,147.00,0.00,0.00,57.00,698.00,729.00,147.00,0.00,0.00
788.00,"To Dil Hil Dry Lake","Chuska/Chaco","Chuska Mountains",0.00,0.00,1.00,700593,4017937,0.00,68.00,0.00,0.00,0.00,0.00,0,3.00,64.00,49.00,70.00,0.00,0.00,25.00,360.00,246.00,105.00,0.00,0.00,57.00,697.00,729.00,147.00,0.00,0.00
